Year,CO2 Forcing.Atmos CO2 exogenous
1750,284.29727
1751,284.29727
1752,284.29727
1753,284.29727
1754,284.29727
1755,284.29727
1756,284.29727
1757,284.29727
1758,284.29727
1759,284.29727
1760,284.29727
1761,284.29727
1762,284.29727
1763,284.29727
1764,284.29727
1765,284.29727
1766,284.29727
1767,284.29727
1768,284.29727
1769,284.29727
1770,284.29727
1771,284.29727
1772,284.29727
1773,284.29727
1774,284.29727
1775,284.29727
1776,284.29727
1777,284.29727
1778,284.29727
1779,284.29727
1780,284.29727
1781,284.29727
1782,284.29727
1783,284.29727
1784,284.29727
1785,284.29727
1786,284.29727
1787,284.29727
1788,284.29727
1789,284.29727
1790,284.29727
1791,284.29727
1792,284.29727
1793,284.29727
1794,284.29727
1795,284.29727
1796,284.29727
1797,284.29727
1798,284.29727
1799,284.29727
1800,284.29727
1801,284.29727
1802,284.29727
1803,284.29727
1804,284.29727
1805,284.29727
1806,284.29727
1807,284.29727
1808,284.29727
1809,284.29727
1810,284.29727
1811,284.29727
1812,284.29727
1813,284.29727
1814,284.29727
1815,284.29727
1816,284.29727
1817,284.29727
1818,284.29727
1819,284.29727
1820,284.29727
1821,284.29727
1822,284.29727
1823,284.29727
1824,284.29727
1825,284.29727
1826,284.29727
1827,284.29727
1828,284.29727
1829,284.29727
1830,284.29727
1831,284.29727
1832,284.29727
1833,284.29727
1834,284.29727
1835,284.29727
1836,284.29727
1837,284.29727
1838,284.29727
1839,284.29727
1840,284.29727
1841,284.29727
1842,284.29727
1843,284.29727
1844,284.29727
1845,284.29727
1846,284.29727
1847,284.29727
1848,284.29727
1849,284.29727
1850,284.29727
1851,287.14024270000004
1852,290.011645127
1853,292.91176157827005
1854,295.8408791940527
1855,298.7992879859933
1856,301.78728086585323
1857,304.80515367451176
1858,307.85320521125686
1859,310.9317372633694
1860,314.0410546360031
1861,317.1814651823631
1862,320.3532798341868
1863,323.55681263252865
1864,326.792380758854
1865,330.0603045664425
1866,333.3609076121069
1867,336.694516688228
1868,340.0614618551103
1869,343.46207647366134
1870,346.896697238398
1871,350.36566421078203
1872,353.8693208528898
1873,357.40801406141867
1874,360.9820942020329
1875,364.5919151440532
1876,368.23783429549377
1877,371.92021263844873
1878,375.6394147648332
1879,379.3958089124815
1880,383.1897670016064
1881,387.0216646716224
1882,390.8918813183386
1883,394.800800131522
1884,398.74880813283727
1885,402.7362962141656
1886,406.7636591763073
1887,410.8312957680704
1888,414.93960872575104
1889,419.0890048130086
1890,423.2798948611386
1891,427.5126938097501
1892,431.7878207478476
1893,436.105698955326
1894,440.46675594487937
1895,444.8714235043281
1896,449.3201377393714
1897,453.8133391167651
1898,458.3514725079328
1899,462.93498723301207
1900,467.5643371053423
1901,472.2399804763957
1902,476.9623802811596
1903,481.7320040839712
1904,486.5493241248109
1905,491.4148173660591
1906,496.32896553971966
1907,501.2922551951168
1908,506.30517774706806
1909,511.3682295245387
1910,516.4819118197842
1911,521.6467309379819
1912,526.8631982473618
1913,532.1318302298354
1914,537.4531485321338
1915,542.8276800174551
1916,548.2559568176297
1917,553.738516385806
1918,559.275901549664
1919,564.8686605651607
1920,570.5173471708123
1921,576.2225206425204
1922,581.9847458489456
1923,587.8045933074351
1924,593.6826392405094
1925,599.6194656329145
1926,605.6156602892437
1927,611.6718168921362
1928,617.7885350610575
1929,623.966420411668
1930,630.2060846157848
1931,636.5081454619426
1932,642.8732269165621
1933,649.3019591857277
1934,655.794978777585
1935,662.3529285653608
1936,668.9764578510145
1937,675.6662224295246
1938,682.4228846538198
1939,689.247113500358
1940,696.1395846353615
1941,703.1009804817152
1942,710.1319902865324
1943,717.2333101893977
1944,724.4056432912918
1945,731.6496997242047
1946,738.9661967214466
1947,746.3558586886612
1948,753.8194172755477
1949,761.3576114483033
1950,768.9711875627863
1951,776.6608994384142
1952,784.4275084327983
1953,792.2717835171263
1954,800.1945013522976
1955,808.1964463658205
1956,816.2784108294787
1957,824.4411949377735
1958,832.6856068871513
1959,841.0124629560229
1960,849.4225875855831
1961,857.9168134614389
1962,866.4959815960533
1963,875.1609414120138
1964,883.912550826134
1965,892.7516763343953
1966,901.6791930977392
1967,910.6959850287168
1968,919.8029448790038
1969,929.000974327794
1970,938.290984071072
1971,947.6738939117826
1972,957.1506328509004
1973,966.7221391794094
1974,976.3893605712036
1975,986.1532541769157
1976,996.0147867186848
1977,1005.9749345858716
1978,1016.0346839317302
1979,1026.1950307710476
1980,1036.4569810787582
1981,1046.8215508895455
1982,1057.289766398441
1983,1067.8626640624257
1984,1078.5412907030498
1985,1089.3267036100804
1986,1100.219970646181
1987,1111.222170352643
1988,1122.3343920561697
1989,1133.5577359767312
1990,1144.8933133364983
