Year,Crop.crop production exogenous
1750,0.2723894430944854
1751,0.2736541806291077
1752,0.27491891816373
1753,0.2761836556983524
1754,0.2774483932329747
1755,0.2787131307675971
1756,0.2799778683022194
1757,0.2812426058368417
1758,0.2825073433714641
1759,0.2837720809060864
1760,0.2850368184407088
1761,0.2864722635477084
1762,0.2879077086547081
1763,0.2893431537617077
1764,0.2907785988687074
1765,0.2922140439757071
1766,0.2936494890827068
1767,0.2950849341897065
1768,0.2965203792967061
1769,0.2979558244037058
1770,0.2993912695107055
1771,0.3020307557665956
1772,0.3046702420224857
1773,0.3073097282783759
1774,0.309949214534266
1775,0.3125887007901562
1776,0.3152281870460463
1777,0.3178676733019364
1778,0.3205071595578266
1779,0.3231466458137167
1780,0.3257861320696069
1781,0.3272801583186369
1782,0.328774184567667
1783,0.330268210816697
1784,0.3317622370657271
1785,0.3332562633147571
1786,0.3347502895637872
1787,0.3362443158128173
1788,0.3377383420618473
1789,0.3392323683108774
1790,0.3407263945599074
1791,0.3411831252004583
1792,0.3416398558410092
1793,0.3420965864815601
1794,0.3425533171221109
1795,0.3430100477626618
1796,0.3434667784032127
1797,0.3439235090437636
1798,0.3443802396843145
1799,0.3448369703248654
1800,0.3452937009654163
1801,0.3479710232380194
1802,0.3506483455106224
1803,0.3533256677832255
1804,0.3560029900558286
1805,0.3586803123284316
1806,0.3613576346010347
1807,0.3640349568736378
1808,0.3667122791462409
1809,0.369389601418844
1810,0.3720669236914471
1811,0.3733936975747151
1812,0.374720471457983
1813,0.376047245341251
1814,0.3773740192245189
1815,0.3787007931077869
1816,0.3800275669910548
1817,0.3813543408743228
1818,0.3826811147575907
1819,0.3840078886408587
1820,0.3853346625241267
1821,0.3883208612911092
1822,0.3913070600580918
1823,0.3942932588250743
1824,0.3972794575920569
1825,0.4002656563590394
1826,0.4032518551260219
1827,0.4062380538930045
1828,0.4092242526599871
1829,0.4122104514269696
1830,0.4151966501939522
1831,0.4174222938796152
1832,0.4196479375652783
1833,0.4218735812509414
1834,0.4240992249366045
1835,0.4263248686222676
1836,0.4285505123079306
1837,0.4307761559935937
1838,0.4330017996792568
1839,0.4352274433649198
1840,0.4374530870505829
1841,0.4402475461502657
1842,0.4430420052499484
1843,0.4458364643496312
1844,0.448630923449314
1845,0.4514253825489968
1846,0.4542198416486795
1847,0.4570143007483622
1848,0.459808759848045
1849,0.4626032189477278
1850,0.4653976780474105
1851,0.467533319733565
1852,0.4696689614197195
1853,0.4718046031058739
1854,0.4739402447920284
1855,0.4760758864781829
1856,0.4782115281643373
1857,0.4803471698504917
1858,0.4824828115366462
1859,0.4846184532228007
1860,0.4867540949089551
1861,0.4867782929266168
1862,0.4868024909442784
1863,0.4868266889619401
1864,0.4868508869796018
1865,0.4868750849972635
1866,0.4868992830149251
1867,0.4869234810325868
1868,0.4869476790502485
1869,0.4869718770679101
1870,0.4869960750855718
1871,0.4899234751690492
1872,0.4928508752525266
1873,0.4957782753360039
1874,0.4987056754194813
1875,0.5016330755029588
1876,0.5045604755864361
1877,0.5074878756699135
1878,0.5104152757533909
1879,0.5133426758368683
1880,0.5162700759203457
1881,0.5206341708171671
1882,0.5249982657139887
1883,0.5293623606108102
1884,0.5337264555076316
1885,0.5380905504044531
1886,0.5424546453012746
1887,0.5468187401980962
1888,0.5511828350949176
1889,0.555546929991739
1890,0.5599110248885606
1891,0.5643309168593896
1892,0.5687508088302187
1893,0.5731707008010476
1894,0.5775905927718766
1895,0.5820104847427057
1896,0.5864303767135347
1897,0.5908502686843637
1898,0.5952701606551927
1899,0.5996900526260217
1900,0.6041099445968507
1901,0.6087957555636051
1902,0.6134815665303596
1903,0.6181673774971139
1904,0.6228531884638684
1905,0.6275389994306227
1906,0.6322248103973771
1907,0.6369106213641316
1908,0.6415964323308859
1909,0.6462822432976404
1910,0.6509680542643947
1911,0.6555834975068741
1912,0.6601989407493534
1913,0.6648143839918326
1914,0.6694298272343119
1915,0.6740452704767912
1916,0.6786607137192705
1917,0.6832761569617498
1918,0.687891600204229
1919,0.6925070434467083
1920,0.6971224866891876
1921,0.7035789047474322
1922,0.7100353228056768
1923,0.7164917408639214
1924,0.722948158922166
